,first_name,male_x,female_x,sex_x,male_y,female_y,sex_y
0,,1.0,1.0,both,,,
1,?ukasz,1.0,0.0,male,1.0,0.0,male
2,a,0.0,1.0,female,0.0,1.0,female
3,aaron,1.0,0.0,male,1.0,0.0,male
4,abdallah,1.0,0.0,male,1.0,0.0,male
5,abduljalil,1.0,0.0,male,1.0,1.0,both
6,adam,1.0,0.0,male,1.0,0.0,male
7,adrian,1.0,1.0,both,1.0,1.0,both
8,aharon,1.0,0.0,male,1.0,0.0,male
9,al,1.0,0.0,male,1.0,1.0,both
10,alan,1.0,0.0,male,1.0,0.0,male
11,alex,1.0,1.0,both,1.0,1.0,both
12,alexandra,0.0,1.0,female,0.0,1.0,female
13,alfredo,1.0,0.0,male,1.0,0.0,male
14,alien,0.0,1.0,female,1.0,1.0,both
15,alpan,1.0,0.0,male,1.0,0.0,male
16,anders,1.0,0.0,male,1.0,0.0,male
17,andre,1.0,0.0,male,1.0,0.0,male
18,andreas,1.0,0.0,male,1.0,0.0,male
19,andres,1.0,0.0,male,1.0,0.0,male
20,andrew,1.0,0.0,male,1.0,0.0,male
21,andy,1.0,1.0,both,1.0,1.0,both
22,anirudh,0.0,1.0,female,0.0,1.0,female
23,ansar,1.0,0.0,male,1.0,0.0,male
24,antti,0.0,1.0,female,0.0,1.0,female
25,arnold,1.0,0.0,male,1.0,0.0,male
26,arthur,1.0,0.0,male,1.0,0.0,male
27,ashley,1.0,1.0,both,0.0,1.0,female
28,ashton,1.0,0.0,male,1.0,0.0,male
29,asjdasod,1.0,0.0,male,1.0,0.0,male
30,atlas,1.0,0.0,male,1.0,0.0,male
31,augusto,1.0,0.0,male,1.0,0.0,male
32,austin,1.0,0.0,male,1.0,1.0,both
33,axel,1.0,0.0,male,1.0,0.0,male
34,aysu,0.0,1.0,female,1.0,1.0,both
35,bantha,0.0,1.0,female,0.0,1.0,female
36,bastian,1.0,0.0,male,1.0,0.0,male
37,beau,1.0,1.0,both,1.0,1.0,both
38,ben,1.0,0.0,male,1.0,0.0,male
39,ben%20,1.0,0.0,male,1.0,0.0,male
40,benjamin,1.0,0.0,male,1.0,0.0,male
41,bob,1.0,0.0,male,1.0,0.0,male
42,bonger,1.0,0.0,male,1.0,0.0,male
43,boooooo,1.0,1.0,both,1.0,1.0,both
44,brad,1.0,0.0,male,1.0,0.0,male
45,brandon,1.0,0.0,male,1.0,0.0,male
46,brendan%20,1.0,0.0,male,1.0,0.0,male
47,brian,1.0,0.0,male,1.0,0.0,male
48,broden%20,1.0,0.0,male,1.0,0.0,male
49,bruno,1.0,0.0,male,1.0,0.0,male
50,bryan,1.0,0.0,male,1.0,0.0,male
51,bryce,1.0,0.0,male,1.0,0.0,male
52,caleb,1.0,1.0,both,1.0,0.0,male
53,car,1.0,0.0,male,1.0,0.0,male
54,carlos,1.0,0.0,male,1.0,0.0,male
55,carmella,0.0,1.0,female,0.0,1.0,female
56,casey,1.0,1.0,both,0.0,1.0,female
57,cathie,0.0,1.0,female,0.0,1.0,female
58,ceorcan,1.0,1.0,both,0.0,1.0,female
59,chen,1.0,0.0,male,1.0,0.0,male
60,chiara,0.0,1.0,female,0.0,1.0,female
61,chris,1.0,1.0,both,1.0,1.0,both
62,christa,0.0,1.0,female,0.0,1.0,female
63,christian,0.0,1.0,female,1.0,1.0,both
64,christopher,1.0,0.0,male,1.0,0.0,male
65,churbology,1.0,0.0,male,1.0,0.0,male
66,clayton,1.0,0.0,male,1.0,0.0,male
67,clifford,1.0,0.0,male,1.0,0.0,male
68,cody,0.0,1.0,female,0.0,1.0,female
69,connor,1.0,0.0,male,1.0,0.0,male
70,curtis,1.0,0.0,male,1.0,0.0,male
71,dan,1.0,0.0,male,1.0,0.0,male
72,daniel,1.0,1.0,both,1.0,0.0,male
73,daniel%20,1.0,1.0,both,1.0,0.0,male
74,danny,1.0,1.0,both,1.0,0.0,male
75,darren,1.0,0.0,male,1.0,0.0,male
76,darth,1.0,0.0,male,1.0,0.0,male
77,dave,1.0,0.0,male,1.0,0.0,male
78,david,1.0,0.0,male,1.0,0.0,male
79,dc,1.0,0.0,male,1.0,0.0,male
80,deanna,0.0,1.0,female,0.0,1.0,female
81,defender,1.0,0.0,male,1.0,0.0,male
82,dehorb,0.0,1.0,female,1.0,1.0,both
83,demetrius,1.0,0.0,male,1.0,0.0,male
84,demian,1.0,0.0,male,1.0,0.0,male
85,denis,1.0,0.0,male,1.0,0.0,male
86,derek,1.0,0.0,male,1.0,0.0,male
87,dick,1.0,0.0,male,1.0,0.0,male
88,diego,1.0,0.0,male,1.0,0.0,male
89,digital,0.0,1.0,female,1.0,1.0,both
