,name,male,female
0,ed,1.0,0.0
1,hals,1.0,0.0
2,ian,1.0,0.0
3,m,1.0,0.0
4,james,1.0,0.0
5,henry,1.0,1.0
6,pierre,1.0,0.0
7,alfredo,1.0,0.0
8,sneed,1.0,0.0
9,darren,1.0,0.0
10,churbology,1.0,0.0
11,,1.0,1.0
12,michael,1.0,0.0
13,james,1.0,0.0
14,judson,1.0,0.0
15,donald,1.0,0.0
16,brian,0.0,1.0
17,,1.0,1.0
18,defender,1.0,0.0
19,michael,1.0,0.0
20,aaron,1.0,0.0
21,matt,1.0,0.0
22,alex,1.0,1.0
23,tim,1.0,1.0
24,tracy,1.0,1.0
25,spencer,1.0,0.0
26,michael,1.0,0.0
27,ed,1.0,0.0
28,hals,1.0,0.0
29,ian,1.0,0.0
30,m,1.0,0.0
31,james,1.0,0.0
32,henry,1.0,1.0
33,pierre,1.0,0.0
34,alfredo,1.0,0.0
35,sneed,1.0,0.0
36,darren,1.0,0.0
37,churbology,1.0,0.0
38,joshua,1.0,1.0
39,stephen,1.0,0.0
40,maycon,1.0,0.0
41,boooooo,1.0,1.0
42,diego,1.0,0.0
43,tahseen,0.0,1.0
44,,1.0,1.0
45,gerald,1.0,0.0
46,cathie,0.0,1.0
47,,1.0,1.0
48,f,1.0,0.0
49,rob,1.0,0.0
50,,1.0,1.0
51,,1.0,1.0
52,patrick,1.0,0.0
53,caleb,1.0,1.0
54,justin,1.0,1.0
55,,1.0,1.0
56,maxime,1.0,1.0
57,,1.0,1.0
58,,1.0,1.0
59,gerald,1.0,0.0
60,cathie,0.0,1.0
61,,1.0,1.0
62,f,1.0,0.0
63,rob,1.0,0.0
64,,1.0,1.0
65,,1.0,1.0
66,patrick,1.0,0.0
67,caleb,1.0,1.0
68,justin,1.0,1.0
69,,1.0,1.0
70,maxime,1.0,1.0
71,,1.0,1.0
72,j,1.0,0.0
73,jd,1.0,0.0
74,curtis,1.0,0.0
75,clifford,1.0,0.0
76,nico,1.0,0.0
77,daniel%20,1.0,1.0
78,francesco,1.0,0.0
79,,1.0,1.0
80,,1.0,1.0
81,,1.0,1.0
82,,1.0,1.0
83,,1.0,1.0
84,,1.0,1.0
85,ashley,0.0,1.0
86,mic,1.0,0.0
87,eric,1.0,0.0
88,val,1.0,1.0
89,bob,1.0,0.0
90,,1.0,1.0
91,marc-andré,0.0,1.0
92,william,1.0,0.0
93,,1.0,1.0
94,bastian,1.0,0.0
95,john,1.0,0.0
96,anirudh,0.0,1.0
97,john,1.0,0.0
98,,1.0,1.0
99,william,1.0,0.0
100,ray,1.0,0.0
101,chris,1.0,1.0
102,elroy,1.0,0.0
103,derek,1.0,0.0
104,david,1.0,0.0
105,,1.0,1.0
106,tucker,1.0,0.0
107,aharon,1.0,0.0
108,jacob,1.0,0.0
109,,1.0,1.0
110,andrew,1.0,0.0
111,sean,1.0,1.0
112,brian,0.0,1.0
113,al,1.0,1.0
114,tad,1.0,0.0
115,laura,0.0,1.0
116,lezlier,1.0,1.0
117,ashley,0.0,1.0
118,mic,1.0,0.0
119,eric,1.0,0.0
120,val,1.0,1.0
121,bob,1.0,0.0
122,,1.0,1.0
123,marc-andré,0.0,1.0
124,william,1.0,0.0
125,,1.0,1.0
126,bastian,1.0,0.0
127,john,1.0,0.0
128,anirudh,0.0,1.0
129,john,1.0,0.0
130,darth,1.0,0.0
131,,1.0,1.0
132,william,1.0,0.0
133,ray,1.0,0.0
134,chris,1.0,1.0
135,elroy,1.0,0.0
136,derek,1.0,0.0
137,andrew,1.0,0.0
138,asjdasod,1.0,0.0
139,matt,1.0,0.0
140,,1.0,1.0
