date,review,star_rating,name
"December 27, 2017","A gorgeous looking and sounding Star Wars movie with bad writing, a tone death use of humor,pointless characters mixed with a few good ideas makes gives you flashbacks to early prequel films",2, Ben w
"December 27, 2017","The fact that this movie received a critic score of 91% confirms my suspicions that these critics are paid off. Star Wars the last Jedi was the worst film I've seen in 2017. Lucas is rolling over in his grave right now. George Lucas isn't dead? Well he is now after seeing his life's work completely ruined.

For starters, the whole Luke Skywalker storyline was entirely contrived and unnecessary. While the previous film builds up an exciting Skywalker re-introduction, his scenes fall short of any sort of excitement. 1.5 hours of the film are dedicated to building a plot that hardly exists. The writing is mediocre at best with random dialogues and ill placed jokes. 

The ending left me with questions that I have no interest in know the answers to.",0, Anthony T
"December 27, 2017","ust watched ""The Last Jedi"". I have to say, I am really indifferent about the movie at this moment. I almost want to lean towards, I don't care anymore about the main saga of Star Wars.

Don't get me wrong, the movie was well directed, looked amazing, and was very entertaining.

I am just not happy with the direction they are taking the story, and decisions made for many of the characters.

I will watch the next movie, and maybe, just maybe, the completion of this story arch will change my mind. However, that is going to be a large order to fulfill as far as I am concerned.",0, Ronald P
"December 27, 2017","As long as you can keep eyes on visuals and FX it's tolerable, but it wasn't for me.

The Last Jedi trying too hard to deconstruct Original Trilogy. There is a clear message ""Past must die"", and this message isn't only to characters, but to audience. 

The goal of this deconstruction is to throw away all previous Star Wars, episodes and Expanded Universe production, to cease comparing and complaining, like ""It was in A New Hope already"", or ""Zahn wrote about it and it was better"". 

While chasing this goal, movie misses in other directions. Abundant plot holes, bad pace and one-dimensional characters made it awful.",1, 
"December 27, 2017","Gaping plot holes, corny jokes and made with practically zero understanding of space. Would be a 2 stars if it hadn't also ruined star wars for me. Probably last one I'll see in a cinema.",0, Ben L
"December 27, 2017",Loved it! One of my favourites.,4, Scott C
"December 27, 2017","This felt like someone pitched a bunch of really cool scenes regardless of whether they matched previous cannon, previously established characters, the previous movie, or even this very same movie. 

It's a disjointed, incoherent story and it's a crying shame that the creators can't respect that while visual oos and ahhs drives up the box office the heart and soul of star wars has always been the story. 

To call the scenes duct taped together is a disservice to the wonders of our shiny grey friend.",2, Wookie S
"December 27, 2017","The Last Jedi is an awesome movie. It is the most visually striking movie I've ever seen, and the character dynamics between Rey, Kylo and Luke are perfect. Rose and Fin have some great interactions too, although it's on top of a terrible filler story. Rey's emotional journey gives us someone who has a lot of challenges but also has the balls to face them, and Luke's conclusion makes us challenge whether we are even meant to understand how movie rules work. Plus, there's two scenes where the movie literally drops the mic, and it deserved it.",4, Bheema B
"December 27, 2017","Damnit. I wanted to like it, but this has become a proud franchise sacrificed to naked political signalling. Star Wars is now dead.",0, Kevin D
"December 27, 2017","Wonderful to see strong, smart, POWERFUL WOMEN in charge of lower males, and lead roles filled by African-Americans instead of whites!

I've never been a star war fan or even liked it, but am definitely excited with the direction DISNEY is going by deconstructing the sexist and racist infrastructure white men have built and propagate to systematically oppress women and African-Americans! Our new CORRECTED WORLD destroys these predators and scraps their outdated, defective ways. They are only able to pathetically watch and cry-cry-cry! It is so funny to watch them breakdown and grovel in their own filthy, sexist, and racist cesspool! Kathleen Kennedy will hopefully run for PRESIDENT in 2020!!

We are POWERFUL! We disrespect and EMASCULATE the ""unenlightened,"" and destroy everything they love and cherish... it is SOOOOO hilarious... LOL!!!

If you want LOVE, tolerance and inclusion, this is the movie for you! However, if you are the typical sexist, racist white male, you are in for a RUDE awakening!! We will NOT BE SILENCED!!

This fantastic movie showcases the long, painful journey of all OPPRESSED VICTIMS toward love, tolerance -- and complete annihilation of OUR vile, disgusting OPPRESSORS!! 

Disney is definitely on the ""RIGHT SIDE OF HISTORY"" with this latest STAR WARS release!!!",5, Tynisha J
