date,review,star_rating,name
"December 24, 2017",One start only because of the special effects.,1, Ed F
"December 24, 2017","When I heard Disney had purchased Star Wars some years ago, my heart sank. I knew they would trash it. They have exceeded my expectations with this latest steaming pile of cinematic diarrhea. I did not think The Force Awakens was a good film, but hoped that maybe, just maybe, it was just a stumbling before Disney did the series justice. The Last Jedi proves they have no respect (or understanding) for Star Wars and will keep cranking out these dreadful sequels until idiot fanboys/girls stop paying, which by the looks of many of these misguided reviews, will be never. I will never watch another Star Wars film again. Just wish I had adopted this stance prior to sitting through this horrendous farce. 

This movie is so bad, it makes the Prequels look good.",0.5, Hals R
"December 24, 2017","""Just breathe"" and go see it a second time. Enjoy what you liked about and let go of the anger over the things most of us felt were lacking. Vitriol over such things leads only to our own harm. ""Anger leads to hate. Hate leads to suffering."" There are, truly, horrible and heartbreaking things in this world to, justifiably, hate; this movie is not one of them.",4, Ian A
"December 24, 2017","If you need to keep checking your watch, the movie sucked. Bitterly disappointing and poorly written.",1, M M
"December 24, 2017","Just hated it. Wanted this movie to make some sense of the very big problems in The Force Awakens. Nope, just throws them away unexplained. Then throws away the main character of the series. Then redefines much of the lore of the series. If they wanted a new saga that would have been great, but don't hijack an existing series and then send a big FU to the fans and the point of the series. Even the new parts of the series don't agree on the direction. I have no interest in the third movie now, and Disney has lost me for the rest of what they have planned.",0.5, James N
"December 24, 2017","TLJ presents a riveting follow-up to TFA. It's fun. It's funny. You witness the fledgling resistance fight back against the FO. It packs quite a punch.

Rey's scenes with Luke are creepy at times, pointless at others. Her scenes with Kylo really were more entertaining. Finn's side-story with Rose provided some relief from the action, gave her backstory, and good explanation for how the FO came about.

The conclusion was a little confusing, but contained some epic scenes. Overall it's best to see TFA and TLJ not as much separate stories. Since one follows right after the other, it gives the impression of a continuation. Episode IX is set up well by TLJ. It's got flaws, but the characters are now better-established and interesting.",4.5, Henry K
"December 24, 2017","This movie sticks with you but for the wrong reasons. It lingers with you and eats away at you. The plot holes, the humor, the giant dump they took on Luke Skywalker. I woke up the next day thinking I had a bad dream where they made the most bizarre and frustrating Star Wars film to date. But it was no dream. When the Last Jedi ends, if feels like the sequel trilogy is going absolutely no where fast. JJ has his work cut out for him with IX, and hopefully Disney learns their lesson after choosing some mediocre director to take complete control, while throwing every SJW trope into the mix as well. I needed to take a bath after sitting through this 2 and a half hour garbage fire. How does Rian Johnson sleep at night knowing he turned Luke Skywalker into a cowardly kook of a character? Watching Disney take over Star Wars has been like watching a slow motion plane crash into one of the most beloved franchises of all time and completely destroying it. Absolutely bizarre and sad. Rest in Peace Star Wars",0.5, Pierre B
"December 24, 2017","This film was a film that didn't have to be made. Simply put this film's plot line could have started and ended in roughly 45 minutes. It dragged for way too long and at the end we didn't get any of the answers we were all asking. Nothing got resolved, no wrap up of previous plots, no story progression, and nothing to kept me wanting to watch the next film. This movie felt like part 2 of 5 and not part 2 of 3. It felt like another Harry Potter film in the mix of the 20 they have.",2.5, Alfredo L
"December 24, 2017",A bloated mess of a film that is too long and has character's behaving like morons simply for the sake of plot convenience. A post-modern insincere deconstruction of traditional star wars themes & characters. Easily the worst installment of the franchise.,0, Sneed C
"December 24, 2017","Difficult to know where to start with this mess.

As someone approaching the 40th anniversary of their first viewing of Star Wars this film has disappointed me like no other.

I won't list all the faults in this hot mess, as that has been expertly dune by many many other reviewers.

What does Tick me off that every positive review berate those that dislike it as being stuck in the past etc. 

I don't need some millennial snow flake to tell me what to like, and that this bold direction of Johnson's is fresh and unexpected blah blah.

Sorry it is simply poorly written trash, please explanation to me what this 'new direction' is? All I see is a ridiculous, over long pile of nonsense with enough plot holes to gag a wookiee

This is a trilogy, it isn't 'clever' writing to just ignore all the plot points from TFA, it's rank bad movie making.

The humour is just cringe worthy and not funny at all in the most part.

Rian Johnson has basically just given a FU to Star Wars fans and left absolute nothing for JJ to when in for episode 9 that I now have zero interest in.

If the box office drop off continues as reported this may not make the giant profit that Disney expect, that is the only way Johnson will have the next trilogy stripped from him, he should be allowed nowhere near it, not that Disney care about anything but money anyway.",1.5, Darren S
